target	NE	UNIPROT_KB_ID
ALDH2	LOW	P05091
ANXA1	LOW	P04083
ANXA3	LOW	P12429
BCAT1	LOW	P54687
BCL3	LOW	P20749
BIRC3	LOW	Q13489
C1QA	LOW	P02745
CASP14	LOW	P31944
CAV2	LOW	P51636
CCL20	LOW	P78556
CCL21	LOW	O00585
CCL21	LOW	O00585
CD44	LOW	P16070
CD5	LOW	P06127
CD70	LOW	P32970
CES1	LOW	P02795
COL6A	LOW	
CTSS	LOW	P25774
CXCL10	LOW	P02778
CXCL2	LOW	P19875
CXCL9	LOW	Q07325
CXCR2	LOW	P25025
CYP35A	LOW	
FCGR1A	LOW	P12314
FOXI1	LOW	Q12951
GZMA	LOW	P12544
IFI27	LOW	P40305
ISG15	LOW	P05161
ITGAM	LOW	P11215
ITGB4	LOW	P16144
ITGB6	LOW	P18564
KLRD1	LOW	Q13241
KRT17	LOW	Q04695
KRT5	LOW	P13647
LAMB3	LOW	Q13751
LRMP	LOW	Q12912
MAGEA4	LOW	P43358
MMP7	LOW	P09237
MX1	LOW	P20591
MYC	LOW	P01106
PGC	LOW	P20142
PRAME	LOW	P78395
PRF1	LOW	P14222
PTGS2	LOW	P35354
RAB27B	LOW	O00194
REL	LOW	Q04864
ROS1	LOW	P08922
TNFSF10	LOW	P50591
TP63	LOW	Q9H3D4
VAMP8	LOW	Q9BV40
VSNL1	LOW	P62760
YBX3	LOW	P16989
ADAM23	HIGH	O75077
AMH	HIGH	P03971
CACNAE1	HIGH	
CCNA1	HIGH	P78396
CDH2	HIGH	P19022
CDKN2C	HIGH	P42773
CHGA	HIGH	P10645
CKB	HIGH	P12277
COL9A3	HIGH	Q14050
CXXC4	HIGH	Q9H2H0
DLL3	HIGH	Q9NYJ7
DNAJC6	HIGH	O75061
DYSPL4	HIGH	
EGLN2	HIGH	Q96KS0
FGF10	HIGH	O15520
FGF5	HIGH	P12034
FZD9	HIGH	O00144
GRP	HIGH	P07492
HIC1	HIGH	Q14526
HSPB8	HIGH	Q9UJY1
ID4	HIGH	P47928
IL9	HIGH	P15248
INS	HIGH	P01308
ISL1	HIGH	P61371
L1CAM	HIGH	P32004
LAMB4	HIGH	A4D0S4
METRN	HIGH	Q9UJH8
MYBL1	HIGH	P10243
NCAM1	HIGH	P13591
NKX2-1	HIGH	P43699
PAK3	HIGH	O75914
PAK7	HIGH	Q9P286
PTN	HIGH	P21246
RBP1	HIGH	O95153
RTN1	HIGH	Q16799
SIX1	HIGH	Q15475
SMAD9	HIGH	O15198
SOX2	HIGH	P48431
SYP	HIGH	P08247
TP73	HIGH	O15350
TPO	HIGH	P07202
ZIC2	HIGH	O95409
CTBS	URINE	Q01459
DEFB1	URINE	P60022
GLTP	URINE	Q9NZD2
LTBP4	URINE	Q8N2S1
MSLN	URINE	Q13421
NCSTN	URINE	Q92542
OMD	URINE	Q99983
SERPINI1	URINE	Q99574
STK24	URINE	Q9Y6E0
TTR	URINE	P02766
