HUGO	Label	UNIPROT_KB_ID
AADACL2	LABEL	Q6P093
AADAT	LABEL	Q8N5Z0
AARS	LABEL	P49588
AARS2	LABEL	Q5JTZ9
AASS	LABEL	Q9UDR5
ABAT	LABEL	P80404
ABCA1	LABEL	O95477
ABCB1	LABEL	P08183
ABCB11	LABEL	O95342
ABCB4	LABEL	P21439
ABCC1	LABEL	P33527
ABCC2	LABEL	Q92887
ABCC8	LABEL	Q09428
ABCC9	LABEL	O60706
ABCG1	LABEL	P45844
ABCG2	LABEL	Q9UNQ0
ABHD6	LABEL	Q9BV23
ABL1	LABEL	P00519
ABL2	LABEL	P42684
ACAA2	LABEL	P42765
ACACA	LABEL	Q13085
ACACB	LABEL	O00763
ACAD8	LABEL	Q9UKU7
ACADM	LABEL	P11310
ACADS	LABEL	P16219
ACADSB	LABEL	P45954
ACAN	LABEL	P16112
ACAT1	LABEL	P24752
ACAT2	LABEL	Q9BWD1
ACE	LABEL	P12821
ACE2	LABEL	Q9BYF1
ACHE	LABEL	P22303
ACKR3	LABEL	P25106
ACLY	LABEL	P53396
ACO2	LABEL	Q99798
ACOX1	LABEL	Q15067
ACP1	LABEL	P24666
ACSL1	LABEL	P33121
ACSL3	LABEL	O95573
ACSL4	LABEL	O60488
ACSS1	LABEL	Q9NUB1
ACSS2	LABEL	Q9NR19
ACTA1	LABEL	P68133
ACTB	LABEL	P60709
ACTR2	LABEL	P61160
ACTR3	LABEL	P61158
ACVR1	LABEL	Q04771
ACVR1B	LABEL	P36896
ACVR1C	LABEL	Q8NER5
ACVRL1	LABEL	P37023
ACY1	LABEL	Q03154
ACY3	LABEL	Q96HD9
ADA	LABEL	P00813
ADAM17	LABEL	P78536
ADAM28	LABEL	Q9UKQ2
ADAMTS5	LABEL	Q9UNA0
ADCY1	LABEL	Q08828
ADCY2	LABEL	Q08462
ADCY5	LABEL	O95622
ADH1A	LABEL	P07327
ADH1B	LABEL	P00325
ADH1C	LABEL	P00326
ADH4	LABEL	P08319
ADH5	LABEL	P11766
ADH7	LABEL	P40394
ADIPOR1	LABEL	Q96A54
ADIPOR2	LABEL	Q86V24
ADK	LABEL	P55263
ADORA1	LABEL	P30542
ADORA2A	LABEL	P29274
ADORA2B	LABEL	P29275
