HUGO,ReactomePathways,KEGGPathways,STRINGInteractors,MolecularFunctions,SubcellularLocations,BiologicalProcesses
ALDH2,2,16,34,8,3,6
ANXA1,5,0,16,7,25,51
AR,6,4,126,18,8,50
ATR,0,0,0,0,0,0
BCAT1,1,9,8,5,2,5
CD44,6,6,69,3,14,22
CDH2,4,2,36,8,24,32
CDK4,17,28,86,7,13,21
CDK6,8,23,48,7,9,31
CES1,2,1,9,4,5,16
CHEK1,10,6,94,7,11,29
COL1A1,20,11,36,6,9,45
CXCR2,3,7,34,6,10,16
CYP3A5,2,6,39,10,2,10
EGF,31,31,121,5,8,35
EGFR,35,48,215,19,26,61
ERBB3,15,7,52,12,9,24
ITGA2,7,14,59,10,10,43
ITGA5,6,17,48,6,12,21
ITGAV,11,16,122,12,22,36
ITGB5,6,10,43,3,7,8
ITGB6,4,8,31,3,9,24
KDM6A,2,1,20,5,4,5
KRAS,0,0,0,2,1,1
LGALS1,2,0,1,3,7,10
MAPT,2,4,56,23,26,56
MDM2,13,25,153,16,9,39
MMP7,5,2,26,5,4,7
MYC,16,34,178,12,8,96
PAK3,13,10,55,7,6,17
PAK7,5,8,36,4,6,13
PARP1,8,5,53,15,13,47
PIK3CA,57,106,258,13,10,50
PKM,2,12,67,9,13,5
PLAU,2,6,32,1,11,16
PLAUR,3,2,48,5,14,13
RET,2,5,47,6,10,39
ROS1,0,0,2,5,3,9
TRK,10,11,83,13,14,48
TUBB3,30,10,5,4,9,4
VCAN,13,1,50,5,10,7
WEE1,7,2,14,6,4,6
