HUGO,Preclinical,Phase1,Phase2,Phase3,Launched,PubMed,PubChem,ChEMBL,DrugBank
ALDH2,2,2,1,0,4,1058,6,6,5
ANXA1,0,0,0,0,2,400,2,2,2
AR,6,9,8,5,25,5148,32,47,37
ATR,6,1,2,1,1,371,5,10,5
BCAT1,0,0,0,2,1,467,0,3,3
CD44,0,0,0,0,2,400,2,2,1
CDH2,0,0,1,0,0,4,0,0,0
CDK4,9,6,7,1,3,937,7,25,15
CDK6,3,4,5,0,3,1233,8,14,10
CES1,2,1,0,2,3,504,6,8,5
CHEK1,12,3,4,1,0,325,8,18,11
COL1A1,0,0,0,0,1,48,1,1,1
CXCR2,3,0,3,1,0,176,4,6,2
CYP3A5,1,1,2,4,92,18998,51,98,92
EGF,0,0,1,0,0,190,1,1,1
EGFR,27,10,17,11,13,3253,39,74,43
ERBB3,1,1,1,0,1,210,2,4,3
ITGA2,2,0,1,0,0,8,2,0,1
ITGA5,0,0,1,0,0,3,1,0,0
ITGAV,1,2,1,1,0,288,3,2,1
ITGB5,0,0,1,1,0,88,2,1,1
ITGB6,0,1,0,0,0,0,1,0,0
KDM6A,3,0,0,0,0,2,2,3,0
KRAS,2,0,1,1,0,165,2,2,2
LGALS1,0,1,0,0,1,200,1,2,1
MAPT,0,0,0,1,4,807,2,5,3
MDM2,5,5,2,1,0,468,2,11,7
MMP7,0,0,0,1,0,114,0,1,1
MYC,1,2,0,0,0,5,1,3,0
PAK3,1,0,0,0,0,0,1,1,0
PAK7,0,1,0,0,0,2,1,1,1
PARP1,8,0,5,4,6,1575,11,19,14
PIK3CA,12,8,12,4,5,1095,20,37,29
PKM,2,0,0,0,1,106,0,2,1
PLAU,2,0,1,0,2,404,2,3,3
PLAUR,1,0,0,0,0,0,1,1,0
RET,4,2,3,6,9,2163,8,24,19
ROS1,0,0,1,0,5,633,3,4,3
TRK,0,0,1,0,0,7,0,0,0
TUBB3,0,0,0,0,5,1000,3,5,5
VCAN,0,0,0,0,1,200,1,1,0
WEE1,2,0,1,0,0,40,0,3,2
