HUGO	Label	UNIPROT_KB_ID	Length	u
ACAT1	LABEL	P24752	427	https://www.uniprot.org/uniprotkb/P24752
ACAT1	LABEL	P35610	550	https://www.uniprot.org/uniprotkb/P35610
ACAT2	LABEL	O75908	522	https://www.uniprot.org/uniprotkb/O75908
ACAT2	LABEL	Q9BWD1	397	https://www.uniprot.org/uniprotkb/Q9BWD1
ADRA1A	LABEL	P25100	572	https://www.uniprot.org/uniprotkb/P25100
ADRA1A	LABEL	P35348	466	https://www.uniprot.org/uniprotkb/P35348
ALB	LABEL	P02768	609	https://www.uniprot.org/uniprotkb/P02768
ALB	LABEL	Q8TES7	1133	https://www.uniprot.org/uniprotkb/Q8TES7
AQP9	LABEL	O14520	342	https://www.uniprot.org/uniprotkb/O14520
AQP9	LABEL	O43315	295	https://www.uniprot.org/uniprotkb/O43315
ATR	LABEL	P20848	421	https://www.uniprot.org/uniprotkb/P20848
ATR	LABEL	Q13535	2644	https://www.uniprot.org/uniprotkb/Q13535
ATR	LABEL	Q9H6X2	564	https://www.uniprot.org/uniprotkb/Q9H6X2
CA11	LABEL	O75493	328	https://www.uniprot.org/uniprotkb/O75493
CA11	LABEL	Q9NS71	185	https://www.uniprot.org/uniprotkb/Q9NS71
CA5B	LABEL	Q8WTZ4	195	https://www.uniprot.org/uniprotkb/Q8WTZ4
CA5B	LABEL	Q9Y2D0	317	https://www.uniprot.org/uniprotkb/Q9Y2D0
CACNG6	LABEL	Q8WXS5	425	https://www.uniprot.org/uniprotkb/Q8WXS5
CACNG6	LABEL	Q9BXT2	260	https://www.uniprot.org/uniprotkb/Q9BXT2
CAD	LABEL	O76075	338	https://www.uniprot.org/uniprotkb/O76075
CAD	LABEL	P27708	2225	https://www.uniprot.org/uniprotkb/P27708
CAD	LABEL	Q05682	793	https://www.uniprot.org/uniprotkb/Q05682
CALCA	LABEL	P01258	141	https://www.uniprot.org/uniprotkb/P01258
CALCA	LABEL	P06881	128	https://www.uniprot.org/uniprotkb/P06881
CAT	LABEL	P04040	527	https://www.uniprot.org/uniprotkb/P04040
CAT	LABEL	Q6IB77	296	https://www.uniprot.org/uniprotkb/Q6IB77
CCR4	LABEL	P51679	360	https://www.uniprot.org/uniprotkb/P51679
CCR4	LABEL	Q9UK39	431	https://www.uniprot.org/uniprotkb/Q9UK39
CCR4	LABEL	Q9ULM6	557	https://www.uniprot.org/uniprotkb/Q9ULM6
CES1	LABEL	P02795	61	https://www.uniprot.org/uniprotkb/P02795
CES1	LABEL	P23141	567	https://www.uniprot.org/uniprotkb/P23141
CTH	LABEL	P32929	405	https://www.uniprot.org/uniprotkb/P32929
CTH	LABEL	Q96IQ7	327	https://www.uniprot.org/uniprotkb/Q96IQ7
DLG4	LABEL	P78352	724	https://www.uniprot.org/uniprotkb/P78352
DLG4	LABEL	Q15334	1064	https://www.uniprot.org/uniprotkb/Q15334
EIF2A	LABEL	P05198	315	https://www.uniprot.org/uniprotkb/P05198
EIF2A	LABEL	Q9BY44	585	https://www.uniprot.org/uniprotkb/Q9BY44
F10	LABEL	P00742	488	https://www.uniprot.org/uniprotkb/P00742
F10	LABEL	Q9BQ89	295	https://www.uniprot.org/uniprotkb/Q9BQ89
FAAH	LABEL	O00519	579	https://www.uniprot.org/uniprotkb/O00519
FAAH	LABEL	Q7L5A8	372	https://www.uniprot.org/uniprotkb/Q7L5A8
GCK	LABEL	P35557	465	https://www.uniprot.org/uniprotkb/P35557
GCK	LABEL	Q12851	820	https://www.uniprot.org/uniprotkb/Q12851
GJA10	LABEL	P57773	515	https://www.uniprot.org/uniprotkb/P57773
GJA10	LABEL	Q969M2	543	https://www.uniprot.org/uniprotkb/Q969M2
GJA9	LABEL	P57773	515	https://www.uniprot.org/uniprotkb/P57773
GJA9	LABEL	Q9UKL4	321	https://www.uniprot.org/uniprotkb/Q9UKL4
GJC1	LABEL	P36383	396	https://www.uniprot.org/uniprotkb/P36383
GJC1	LABEL	Q8N144	294	https://www.uniprot.org/uniprotkb/Q8N144
GJE1	LABEL	A6NN92	205	https://www.uniprot.org/uniprotkb/A6NN92
GJE1	LABEL	Q8NFK1	279	https://www.uniprot.org/uniprotkb/Q8NFK1
GNAS	LABEL	O95467	245	https://www.uniprot.org/uniprotkb/O95467
GNAS	LABEL	P63092	394	https://www.uniprot.org/uniprotkb/P63092
GNAS	LABEL	P84996	626	https://www.uniprot.org/uniprotkb/P84996
GNAS	LABEL	Q5JWF2	1037	https://www.uniprot.org/uniprotkb/Q5JWF2
GPX6	LABEL	P59796	221	https://www.uniprot.org/uniprotkb/P59796
GPX6	LABEL	Q96SL4	187	https://www.uniprot.org/uniprotkb/Q96SL4
GRIK2	LABEL	Q13002	908	https://www.uniprot.org/uniprotkb/Q13002
GRIK2	LABEL	Q16478	980	https://www.uniprot.org/uniprotkb/Q16478
HADH	LABEL	P40939	763	https://www.uniprot.org/uniprotkb/P40939
HADH	LABEL	Q16836	314	https://www.uniprot.org/uniprotkb/Q16836
